CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Pakistan,0.0043,0.005,0.0057,0.0063,0.0068,0.0074,0.0081,0.0088,0.0097,0.0107,0.0119,0.0133,0.0149,0.017,0.0193,0.0223,0.0258,0.0296,0.0342,0.0415,0.0493,0.0577,0.0664,0.0753,0.0841,0.0928
Panama,0.277,0.3838,0.4992,0.5963,0.6555,0.6811,0.6865,0.6816,0.6715,0.6607,0.6608,0.659,0.6544,0.6495,0.6458,0.644,0.6444,0.6469,0.6501,0.6544,0.6619,0.6676,0.6735,0.6789,0.6843,0.6907
Papua New Guinea,0.0609,0.0941,0.1391,0.1969,0.2667,0.3473,0.4344,0.5254,0.6162,0.7036,0.7913,0.8578,0.9047,0.9277,0.9293,0.9157,0.8931,0.8714,0.854,0.8366,0.8209,0.8043,0.7927,0.7879,0.7892,0.794
Paraguay,0.1293,0.1514,0.172,0.1912,0.2124,0.2368,0.2635,0.2912,0.3155,0.3425,0.3692,0.3907,0.4075,0.42,0.4279,0.4326,0.4369,0.4403,0.4437,0.445,0.4468,0.4465,0.4438,0.4403,0.4366,0.4325
Peru,0.4787,0.4883,0.4934,0.4896,0.4817,0.4709,0.4601,0.4491,0.4386,0.4288,0.4193,0.4098,0.4005,0.3915,0.3827,0.3723,0.3631,0.3543,0.3476,0.3414,0.3379,0.3356,0.3338,0.333,0.3315,0.3284
Philippines,0.0004,0.0005,0.0007,0.0011,0.0016,0.0023,0.0029,0.0037,0.0045,0.0055,0.0065,0.0076,0.0085,0.0096,0.0109,0.0124,0.0143,0.0168,0.0202,0.0251,0.032,0.0391,0.0473,0.0563,0.0668,0.075
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0.009494,0.01414,0.023146,0.037959,0.057451,0.08123,0.111295,0.147167,0.186515,0.225658,0.262918,0.296526,0.326153,0.352204,0.376264,0.399224,0.423101,0.449076,0.475927,0.503838,0.53267,0.561092,0.588579,0.612273,0.630602,0.642905
